Horodateur;Année d'obtention de votre diplôme d'ambulancier;Département de formation ;Quel est le type d'activité de votre entreprise ? (Plusieurs réponses possibles);Quel est le secteur d'activité de votre entreprise ?;Combien d'ADE/CCA sont employés par votre entreprise;Combien d'auxiliaires sont employés par votre entreprise;Disposez-vous d'un jeu de tenues professionnelles identifiées :  Nom de l'entreprise ?;;De quelle couleur sont-elles ?;Avez-vous des protocoles d'hygiène dans votre entreprise ? ;;Si oui, sont-ils en adéquation avec l'enseignement réalisé à l'IFA ? ;Concernant le rythme de décontamination du matériel et du véhicule sanitaire,  réalisez-vous :;;Disposez-vous d'un lecteur de glycémie, appareil Dextro ?;;;;;Disposez-vous d'appareils permettant la réalisation d'électro-cardiogramme  (ECG) ? ;;;Disposez-vous de matériel pour réaliser des aspirations trachéales (dans la trachée, la canule de trachéotomie) ?;;;Vous disposez dans votre véhicule : (plusieurs réponses possibles);Lorsqu'un patient est à bord du véhicule sanitaire est-ce l'auxilaire qui conduit : ;;Lors d'une intervention, la suite de la prise en charge nécessite la pose d'une voie veineuse périphérique;;Lors d'une prise en charge d'un patient à domicile  il vous manque des informations pour la prise en charge de votre patient, hors celui-ci est porteur d'un courrier remis par son médecin traitant pour le service d'accueil .;Lors d'une admission, vous occupez-vous de l'entrée administrative de votre patient ( vous ou votre binôme ) ? ;;Dans les établissements de santé existe-t-il un guichet avec accès prioritaire ambulancier pour réaliser les démarches administratives de l'admission;;;;;;Lors d'un transfert, vous prenez en charge un patient porteur d'un pousse-seringue éléctrique;;;;
05/10/2013 22:08:39;2013;75; ASSU;Zone urbaine;20;0;Oui;Oui;Blanche;Oui;Toujours;Oui;Oui;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;;Oui;Oui de manière autonome;Oui;Oui;Non;Oui;Matelas immobilisateur à dépression : matelas coquille;Jamais;Jamais;Oui;Vous préparez la perfusion avec sa tubulure et purgez le dispositif ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Non;;Parfois;;;;;;Oui;Votre entreprise ;;;
05/10/2013 22:10:39;2012;75;VSL, Ambulance de catégorie C;Zone urbaine;20;10;Oui;Oui;blanches;Oui;Toujours;Oui;Non;Toutes les semaines ;Non;Oui;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 22:10:56;2002;78;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;22;27;Oui;Non;bleue;Non;;;Non;Tous les jours;Oui;Non;Non;De façon spontanée dans certaines situations ;malaise;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;selon la situation;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 22:11:36;2007;95; ASSU;Zone rurale et urbaine;15;0;Oui;Oui;blanches;Non;Jamais;Non;Non;tous les mois ;Non;Non;Non;;;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous n'ouvrez pas le courrier;Oui;Les deux ;Jamais;;;;;;Non;;;;
05/10/2013 22:13:37;2011;69;VSL,  ASSU;Zone rurale et urbaine;2;1;Oui;Oui;jaune;Oui;Parfois;Oui;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;;Non;;Oui;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Uniquement lors d'une entrée en service d'urgence;Parfois;;;;;;Oui;Votre IFA;;;
05/10/2013 22:17:19;2012;80;VSL,  ASSU;Zone rurale;5;5;Oui;Oui;bleues et blanches;Oui;Parfois;Non;Non;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;malaise hypo, diabète connu;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Jamais;;;;;;Non;;;;
05/10/2013 22:23:43;2003;78;VSL,  ASSU;Zone rurale et urbaine;11;5;Oui;Oui;Blanc;Oui;Toujours;Non;Non;Toutes les semaines ;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
05/10/2013 22:29:18;1993;75;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;30;15;Oui;Oui;bleu et blanc;Oui;Toujours;Oui;Oui;Toutes les semaines ;Non;Non;Non;Sur demande d'un médecin, d'un infirmier ou du SMUR;samu au domicile dextro de la personne;Non;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 22:30:10;2012;10;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;10;10;Oui;Oui;Bleu marine & vert fluo, + bande jaune fluo sur pantalon et blouson;Oui;Toujours;Oui;Oui;Toutes les semaines ;Oui;Non;Oui;De façon spontanée dans certaines situations ;Lors de malaise chez une personne Diabétique qui n'aurait pas fait sa glycémie apres son malaise, où sur une personne inconsciente qui respire. (Pas vu l'utilisation à l'IFA, mais vu lors du stage aux urgences et au SMUR);Oui;Oui sous contrôle d'un médecin ou d'un infirmier;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 22:40:58;2013;Rhone;VSL, Ambulance de catégorie C;Zone rurale et urbaine;3;3;Oui;Oui;Bleu et blanc;Oui;Toujours;Oui;Oui;Toutes les semaines ;Oui;Oui;Non;;;Non;;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;;Non;;Vous n'ouvrez pas le courrier;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
05/10/2013 22:48:06;2003;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;24;4;Oui;Oui;blanc;Oui;Parfois;Oui;Oui;Tous les jours;Oui;Non;Oui;De façon spontanée dans certaines situations ;personnes diabétiques;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 22:58:38;2013;60;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;15;12;Oui;;bleu;Oui;Toujours;Oui;Non;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;;Oui;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre entreprise ;;;
05/10/2013 23:00:15;2009;78;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;4;4;Oui;Oui;marine jaune flou;Non;Jamais;Non;Non;Tous les jours;Oui;Non;Non;;;Non;Non;Non;Oui;Non;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 23:39:08;2007;Puy-de-Dôme;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;40;50;Oui;Oui;Noire et rouge;Oui;Parfois;Non;Non;Toutes les semaines ;Oui;Oui;Non;;;Non;;Oui;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Jamais;;;;;;Oui;Votre IFA;;;
06/10/2013 00:01:17;2012;66;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;16;13;Oui;Oui;blanche;Non;;Non;Non;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée régulièrement ;;Oui;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Oui;Vous préparez la perfusion avec sa tubulure et purgez le dispositif ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 00:41:20;2008;60;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;3;2;Oui;Oui;Bleu;Oui;Toujours;Oui;Oui;Tous les jours, Toutes les semaines ;Oui;Non;Oui;De façon spontanée dans certaines situations ;Suite a une prise en charge pour malaise ou patient ayant comme antécédents diabète ;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;;Jamais;;;;;;Non;;;;
06/10/2013 00:45:04;2013;69;VSL, Ambulance de catégorie C;Zone rurale et urbaine;8;0;Oui;Oui;blanches;Oui;Toujours;Oui;Oui;Toutes les semaines ;Non;Oui;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Jamais;;Non;;Vous n'ouvrez pas le courrier;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 01:12:37;2012;49;VSL,  ASSU, Ambulance de catégorie C;Zone urbaine;20;10;Oui;Oui;bleu foncé;Non;;Non;Non;tous les mois ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;patient diabétique, malaise;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
06/10/2013 02:25:48;2011;66;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;7;8;Oui;Oui;bleu;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;sur symptômes neurologique;Oui;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;premièrement je pose des questions au patient et deuxièmement j'ouvre le courrier ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 05:44:40;2010;91; ASSU;Zone rurale et urbaine;3;3;Oui;Oui;Dominate blanche avec du bleu et reflechissant orange;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Malaise ou la glycemie peut etre en cause suite au signe clinique;Oui;Oui de manière autonome;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Oui;Vous préparez la perfusion avec sa tubulure et purgez le dispositif ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Jamais;;;;;;Oui;Votre entreprise ;;;
06/10/2013 07:27:01;2013;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;8;5;Oui;Oui;bleu et blanche;Oui;Toujours;Non;Non;Tous les jours;Oui;Oui;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous n'ouvrez pas le courrier;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
06/10/2013 08:18:00;1996;87; ASSU;Zone rurale;3;4;Oui;Oui;blanc;Oui;Toujours;Oui;Non;Toutes les semaines ;Non;Non;Non;;;Non;Non;Non;Oui;Non;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Toujours ;;;;;;Oui;sur letas;;;
06/10/2013 08:20:36;2002;Finistère;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;12;30;Oui;Oui;bleu et blanc;Oui;Parfois;Oui;Non;Toutes les semaines ;Oui;Non;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Oui;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Jamais;;;;;;Oui;Votre entreprise ;;;
06/10/2013 08:25:53;2005;83; ASSU, Ambulance de catégorie C;Zone rurale et urbaine;5;5;Oui;Oui;bleus;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Non;Oui;De façon spontanée régulièrement ;;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 08:31:23;2011;66;VSL, Ambulance de catégorie C;Zone rurale et urbaine;3;2;Oui;Oui;bleu;Non;Jamais;Non;Oui;Toutes les semaines ;Non;Oui;Non;;;Non;;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 08:33:31;2011;72; ASSU;Zone rurale et urbaine;10;3;Oui;Oui;blanc;Oui;Parfois;Oui;Non;Tous les jours, Toutes les semaines ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;;Oui;Oui de manière autonome;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Uniquement lors d'une entrée en service d'urgence;Parfois;;;;;;Non;;;;
06/10/2013 08:46:06;2013;13;VSL, Ambulance de catégorie C;Zone rurale et urbaine;15;10;Oui;Oui;Bleue;Oui;Toujours;Oui;Oui;Tous les jours;Non;Non;Non;;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 08:48:04;2003;33;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;35;15;Oui;Oui;Blanc et bleue;Oui;Parfois;Oui;Non;Toutes les semaines ;Oui;Non;Non;;;Non;;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Toujours ;;;;;;Non;;;;
06/10/2013 08:50:20;2012;29;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;9;2;Oui;Oui;bleue;Oui;Parfois;Oui;Non;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;en samu;Oui;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Non;;Toujours ;;;;;;Non;;;;
06/10/2013 08:58:22;2012;29;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;5;1;Oui;Oui;Bleu;Non;Parfois;Oui;Non;tous les mois ;Non;Oui;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Toujours ;;;;;;Non;;;;
06/10/2013 09:06:57;2003;67; ASSU, Ambulance de catégorie C;Zone rurale et urbaine;5;7;Oui;Oui;Blanc;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Non;Oui;De façon spontanée dans certaines situations ;Malaises,hypo/hyperglycemique connu;Oui;Oui de manière autonome;Oui;Non;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;SMUR ;;;
06/10/2013 09:23:03;2013;21;VSL, Ambulance de catégorie C;Zone rurale et urbaine;2;2;Oui;Oui;blanches;Non;;Non;Non;Toutes les semaines ;Non;Non;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;;Non;;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Uniquement lors d'une entrée en service d'urgence;Toujours ;;;;;;Non;;;;
06/10/2013 09:23:16;2004;37;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;5;3;Oui;Oui;blanc et bleu;Oui;Toujours;Oui;Oui;Toutes les semaines ;Oui;Non;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 09:26:25;2010;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;19;1;Oui;Oui;blanche;Oui;Parfois;Oui;Oui;Toutes les semaines ;Non;Oui;Non;;;Oui;Non;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
06/10/2013 09:27:52;2005;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;7;3;Oui;Oui;Bleu marine ;Oui;Parfois;Non;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Malaises hypo ....;Non;;Oui;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Urgences;;;
06/10/2013 09:36:34;2008;31;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;7;8;Non;;bleu et blanc;Non;;;Oui;Toutes les semaines ;Oui;Non;Oui;De façon spontanée régulièrement , De façon spontanée dans certaines situations ;Urgence spécifique;Non;;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
06/10/2013 09:48:45;2008;91;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;16;20;Oui;Oui;bleue et blanche;Oui;Toujours;Oui;Non;Tous les jours;Oui;Non;Oui;De façon spontanée dans certaines situations ;malaise ;Oui;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 09:56:06;2003;33;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;23;12;Oui;Oui;malheureusement 3/4 bleu 1/4 blanc;Oui;Parfois;Oui;;; car 3 ambu en une heures ne laisse pas le temps a de l' hygiennes et si on peut pas le faire c'est nous les incompetants !!!;Non;Tous les jours, tous les mois ;Oui;Non;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;sur certain symptome de façon  spontanée oui;Oui;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;je prepar sur medicalisation les ambulancier smur et iade me connaise et me font confiance c est eu qui mon apris a les préparez;je ne fais confiance qua moi;Oui;Les deux ;Jamais;;;;;;Non;on transfére meme avec respirateur sans formation c nimporte quoi
06/10/2013 09:59:38;2010;67;Ambulance de catégorie C;Zone rurale et urbaine;1;0;Oui;Oui;bleues;Oui;Toujours;Oui;Oui;Tous les jours, Toutes les semaines , tous les mois ;Non;Oui;Non;;;Non;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 10:05:43;2010;14;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;5;3;Oui;Oui;bleu;Non;;;Oui;Tous les jours;Non;Non;Non;;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 10:10:09;2009;59; ASSU;Zone rurale et urbaine;4;2;Oui;Oui;blanche;Oui;Toujours;Non;Non;Tous les jours, Toutes les semaines ;Oui;Non;Oui;De façon spontanée dans certaines situations ;malaise, alcoolisation;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 10:19:00;2011;37;VSL,  ASSU;Zone rurale;3;7;Oui;Non;bleu foncé;Oui;Parfois;Non;Non;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;persnne diabétique connue, ou malaise en apparence vagal;Oui;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 10:41:28;2009;13;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;9;4;Non;;Bleues;Non;;; obligation d'hygiène mais sans protocole.;Non;Tous les jours;Non;Oui;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Les deux ;Parfois;;;;;;Non;;;
06/10/2013 10:41:41;2013;14;VSL,  ASSU;Zone rurale et urbaine;12;8;Oui;Oui;blanc et bleu;Oui;Toujours;Non;Non;Toutes les semaines ;Oui;Non;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;j'appelle le medecin traitant ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
06/10/2013 10:56:23;2011;Gironde;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;9;4;Oui;Oui;Bleu;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Non;Non;;;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre entreprise ;;;
06/10/2013 10:58:09;2012;56;VSL,  ASSU;Zone rurale;5;2;Oui;Oui;bleu marine;Oui;Toujours;Oui;Oui;Toutes les semaines ;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;urgence vitale;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Toujours ;;;;;;Non;;;;
06/10/2013 10:59:41;2011;81;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;11;16;Non;Oui;blanche et bleue;Non;Jamais;Non;Non;tous les mois ;Oui;Oui;Non;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Non;Non;Non;Non;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;rien!;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 11:09:49;2003;75;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;30;30;Oui;Oui;bleue;Oui;Toujours;Oui;Oui;Toutes les semaines ;Oui;Non;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;malaises hypo ou hyperglycémie;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Toujours ;;;;;;Oui;terrain ;;;
06/10/2013 11:17:48;2011;69;VSL, Ambulance de catégorie C;Zone rurale et urbaine;6;3;Oui;Oui;bleu marine;Non;Parfois;Non;Non;Toutes les semaines ;Oui;Oui;Non;;;Non;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
06/10/2013 11:20:37;2005;le mans;VSL,  ASSU, Ambulance de catégorie C;Zone urbaine;7;1;Oui;Oui;bleu;Oui;Parfois;Non;Oui;Toutes les semaines ;Oui;Non;Non;;;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Uniquement lors d'une entrée en service d'urgence;Parfois;;;;;;Non;;;;
06/10/2013 11:22:34;2010;93;VSL, Ambulance de catégorie C;Zone urbaine;5;5;Oui;Oui;blanc et bleu marine;Oui;Toujours;Oui;Non;Tous les jours;Non;Oui;Non;;;Non;;Oui;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
06/10/2013 11:23:30;2011;56;VSL,  ASSU;Zone rurale et urbaine;3;3;Oui;Oui;blanc et bleu;Non;Parfois;Non;Oui;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;diabete, oh;Non;;Oui;Non;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Toujours ;;;;;;Oui;Votre IFA;;;
06/10/2013 11:37:54;2009;57;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;7;5;Non;Oui;haut blanc et bas bleu;Oui;Parfois;Oui;Oui;Toutes les semaines ;Non;Non;Non;;;Non;;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Toujours ;;;;;;Non;;;;
